"Season","Team","Age","GW","GL","MP","THM","THL","TM","TL","FTM","FTL","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","OPTHM","OPTHL","OPTM","OPTL","OPFTM","OPFTL","OPORB","OPDRB","OPAST","OPSTL","OPBLK","OPTOV","OPPF","OPPTS","Conference","Classified"
1981,"Cleveland Cavaliers",25.7,28,54,19780,0.00364004,0.008948433,0.176137513,0.195955511,0.07512639,0.021385238,0.063599596,0.113397371,0.101466127,0.031951466,0.01627907,0.07057634,0.100859454,0.438321537,0.002628918,0.00586451,0.179777553,0.174418605,0.091001011,0.03008089,0.058543984,0.126339737,0.10950455,0.034428716,0.022952477,0.074519717,0.098887765,0.458442872,"east",NA
1981,"Dallas Mavericks",24.8,15,67,19780,0.002325581,0.006016178,0.159656218,0.182254803,0.094438827,0.031294237,0.056066734,0.110060667,0.100303337,0.028361982,0.010819009,0.072750253,0.101516684,0.420728008,0.00182002,0.005106168,0.181294237,0.168705763,0.087512639,0.028614762,0.059302326,0.126289181,0.106066734,0.036046512,0.024266936,0.072446916,0.110566229,0.455561173,"west",NA
1981,"Denver Nuggets",26.8,37,45,19955,0.001503383,0.005762967,0.188123277,0.203507893,0.119669256,0.033224756,0.066399399,0.125131546,0.10172889,0.036081183,0.019042846,0.072362816,0.105637685,0.500425958,0.002204961,0.005913305,0.201202706,0.192432974,0.09336006,0.032272613,0.066148835,0.13430218,0.126735154,0.035279379,0.027411676,0.077925332,0.119619143,0.502380356,"west",NA
1981,"Detroit Pistons",24.3,21,61,19755,0.000658061,0.003594027,0.16314857,0.186231334,0.085497342,0.032447482,0.060794736,0.106859023,0.092077955,0.044748165,0.024905087,0.089040749,0.107567704,0.413768666,0.001569223,0.004859529,0.175550494,0.165730195,0.08418122,0.028043533,0.055175905,0.12128575,0.102910656,0.040141736,0.029612756,0.090964313,0.106049101,0.439989876,"east",NA
1981,"Golden State Warriors",24.4,39,43,19730,0.003041054,0.007602636,0.17739483,0.181145464,0.092549417,0.034820071,0.071109985,0.119918905,0.102686265,0.030968069,0.015255955,0.078408515,0.109376584,0.45646224,0.001875317,0.006234161,0.182159149,0.174860618,0.091434364,0.030765332,0.057627978,0.112012164,0.112671059,0.036188545,0.019564116,0.070197669,0.106082108,0.461378611,"west",NA
1981,"Houston Rockets",26.8,40,42,19805,0.001060338,0.004897753,0.179348649,0.185054279,0.086392325,0.025852058,0.061398637,0.118505428,0.105983338,0.035597071,0.019691997,0.073264327,0.095985862,0.448270639,0.002474123,0.006160061,0.180156526,0.181873264,0.079171926,0.027265842,0.059429437,0.119515274,0.110628629,0.034789195,0.018530674,0.072203989,0.099823277,0.446907347,"west",NA
1981,"Indiana Pacers",26,44,38,19730,0.001520527,0.007045109,0.175418145,0.183223517,0.091991891,0.036746072,0.067156614,0.114901166,0.10598074,0.04221997,0.024531171,0.075570198,0.10167258,0.447389762,0.002078054,0.006994425,0.173137354,0.176178409,0.089052205,0.027014698,0.06315256,0.121996959,0.107095793,0.035225545,0.02225038,0.083882413,0.104612266,0.441561075,"east",NA
1981,"Kansas City Kings/Sacramento Kings",26.2,40,42,19830,0.002471004,0.006001009,0.177660111,0.174483106,0.079475542,0.031770045,0.052294503,0.123550177,0.114523449,0.036258195,0.019415028,0.073020676,0.105496722,0.442208775,0.001563288,0.006152295,0.171104387,0.180080686,0.095259708,0.030811901,0.057387796,0.126575895,0.093645991,0.036157337,0.01931417,0.076651538,0.101613717,0.442158346,"west",NA
1981,"Los Angeles Lakers",27,54,28,19805,0.000858369,0.003887907,0.190002525,0.177985357,0.077758142,0.028932088,0.058823529,0.125776319,0.119313305,0.040797778,0.027821257,0.078616511,0.098712446,0.460338298,0.002120677,0.007169907,0.178692249,0.200858369,0.080686695,0.028275688,0.069578389,0.11481949,0.115122444,0.038071194,0.018025751,0.074375158,0.094370109,0.444433224,"west",NA
1981,"Milwaukee Bucks",26.6,60,22,19755,0.001518603,0.00511263,0.186889395,0.184712731,0.091217413,0.027233612,0.063831941,0.121893192,0.117388003,0.043634523,0.026828651,0.080030372,0.111262971,0.469552012,0.001771703,0.008301696,0.165831435,0.18957226,0.102404455,0.034320425,0.064034422,0.111819792,0.102910656,0.037205771,0.020248038,0.084535561,0.103771197,0.439382435,"east",NA
1981,"Brooklyn Nets/New Jersey Nets",25.2,24,58,19805,0.001716738,0.005251199,0.173844989,0.188487756,0.089876294,0.029840949,0.055137592,0.11986872,0.104418076,0.037869225,0.023125473,0.084019187,0.111285029,0.442716486,0.001413784,0.005150215,0.180964403,0.173945973,0.101489523,0.032971472,0.053471346,0.126180258,0.108255491,0.041151224,0.025347135,0.082655895,0.105629891,0.467659682,"east",NA
1981,"New York Knicks",25.1,50,32,19830,0.002824004,0.009077156,0.173928391,0.180030257,0.089914271,0.030408472,0.057337368,0.111195159,0.099646999,0.043419062,0.015834594,0.073676248,0.09667171,0.446243066,0.002168432,0.006505295,0.177105396,0.171860817,0.07881997,0.026172466,0.057841654,0.123903177,0.105295008,0.034745335,0.022793747,0.083711548,0.100554715,0.439536056,"east",NA
1981,"Philadelphia 76ers",27.2,62,20,19855,0.000956938,0.003273735,0.182170738,0.169831277,0.093931,0.028305213,0.054948376,0.131855956,0.119315034,0.043162931,0.029765802,0.085721481,0.103802569,0.461143289,0.002417527,0.007655502,0.164140015,0.195316041,0.093175523,0.032082599,0.064769579,0.115185092,0.102392344,0.041198691,0.019088391,0.082699572,0.102946361,0.428708134,"east",NA
1981,"Phoenix Suns",25.7,57,25,19755,0.001771703,0.006378132,0.179802582,0.182890407,0.091622374,0.03138446,0.062465199,0.126044039,0.111617312,0.044343204,0.02105796,0.087724627,0.101037712,0.456542647,0.003492787,0.007086813,0.166995697,0.187952417,0.089192609,0.03143508,0.058719312,0.1156163,0.099721589,0.046165528,0.020298659,0.088686409,0.107112124,0.433662364,"west",NA
1981,"Portland Trail Blazers",25.7,45,37,19855,0.001259129,0.006194913,0.187156887,0.184890456,0.079224377,0.031125661,0.062603878,0.120271972,0.113019391,0.038730798,0.024175271,0.076454294,0.10244271,0.457315538,0.001712415,0.005791992,0.178796273,0.183933518,0.090909091,0.028808864,0.062906069,0.121833291,0.106220096,0.040392848,0.021254092,0.079325107,0.097305465,0.453638882,"west",NA
1981,"San Antonio Spurs",26.7,52,30,19805,0.000757384,0.003534461,0.179550619,0.18353951,0.103610199,0.031103257,0.065841959,0.130371118,0.10340823,0.034587225,0.032466549,0.077404696,0.106740722,0.46498359,0.002272153,0.006210553,0.178540773,0.195809139,0.089169402,0.031355718,0.061297652,0.109921737,0.111386014,0.03534461,0.024286796,0.07180005,0.110982075,0.453067407,"west",NA
1981,"Los Angeles Clippers/San Diego Clippers",27.6,36,46,19730,0.006690319,0.013938165,0.169538773,0.178966042,0.083679676,0.030157121,0.059249873,0.108667005,0.10633553,0.038722757,0.014799797,0.071312722,0.105321845,0.44282818,0.00167258,0.006082108,0.176127724,0.16842372,0.092143943,0.031170806,0.055296503,0.120476432,0.106284845,0.034617334,0.019868221,0.07871262,0.10167258,0.449417131,"west",NA
1981,"Oklahoma City Thunder/Seattle SuperSonics",26.8,34,48,19780,0.001617796,0.00429727,0.167391304,0.187917088,0.091658241,0.028463094,0.058998989,0.123053589,0.098331648,0.031749242,0.022143579,0.077047523,0.100404449,0.431294237,0.002123357,0.005813953,0.172446916,0.19479272,0.08685541,0.030586451,0.063043478,0.119160768,0.103336704,0.03776542,0.019565217,0.068149646,0.103336704,0.438119312,"west",NA
1981,"Utah Jazz",25.1,28,54,19730,0.002128738,0.006132793,0.16675114,0.170907248,0.080841358,0.024581855,0.048758236,0.117840851,0.098732894,0.032285859,0.019564116,0.07212367,0.10694374,0.420729853,0.002280791,0.005169792,0.171566143,0.176685251,0.095235682,0.030055753,0.05848961,0.123669539,0.100608211,0.030207805,0.0205778,0.066041561,0.09401926,0.44521034,"west",NA
1981,"Washington Wizards/Washington Bullets",28.6,39,43,19780,0.003286148,0.008897877,0.176137513,0.191708797,0.07578362,0.028968655,0.058392315,0.128058645,0.108746208,0.032406471,0.019817998,0.071890799,0.095803842,0.437917088,0.001870576,0.0070273,0.175985844,0.193832154,0.080283114,0.028968655,0.060869565,0.133367037,0.104145602,0.037360971,0.023710819,0.071284125,0.095449949,0.437866532,"east",NA
1982,"Atlanta Hawks",26.5,42,40,19880,0.001408451,0.005030181,0.160060362,0.174346076,0.092203219,0.027867203,0.057092555,0.119114688,0.091297787,0.030583501,0.024396378,0.067555332,0.114084507,0.416549296,0.002313883,0.007042254,0.156136821,0.171981891,0.095120724,0.02972837,0.057092555,0.120120724,0.094114688,0.029074447,0.021830986,0.072635815,0.109607646,0.414336016,"east",NA
1982,"Boston Celtics",27.3,63,19,19780,0.00247725,0.006825076,0.182406471,0.179069767,0.091860465,0.032355915,0.063346815,0.125834176,0.107482305,0.032962588,0.028715875,0.073407482,0.10182002,0.464105157,0.001971689,0.008291203,0.174469161,0.190849343,0.08281092,0.026996967,0.060313448,0.113599596,0.099696663,0.034428716,0.018554095,0.07239636,0.113245703,0.437664307,"east",NA
1982,"Chicago Bulls",26.5,34,48,19880,0.002716298,0.007997988,0.166750503,0.160965795,0.098138833,0.029879276,0.056589537,0.127012072,0.1027666,0.02917505,0.024295775,0.082293763,0.101006036,0.439788732,0.002917505,0.006841046,0.181136821,0.180734406,0.077112676,0.026156942,0.057042254,0.111921529,0.1027666,0.040593561,0.023591549,0.063229376,0.11167002,0.448138833,"east",NA
1982,"Cleveland Cavaliers",26.1,15,67,19805,0.001262307,0.005655138,0.170663974,0.192729109,0.082201464,0.027821257,0.060085837,0.109568291,0.094471093,0.032012118,0.018025751,0.066599344,0.110729614,0.427316334,0.0019692,0.004645292,0.180207018,0.168846251,0.096238324,0.031456703,0.056803837,0.127695027,0.109517799,0.033072456,0.024236304,0.070941681,0.104569553,0.46255996,"east",NA
1982,"Dallas Mavericks",24.4,28,54,19730,0.002787633,0.006842372,0.169031931,0.187480993,0.088190573,0.031728332,0.06147998,0.11292448,0.10729853,0.028687278,0.015864166,0.06675114,0.111150532,0.434617334,0.001571211,0.005423213,0.177344146,0.168068931,0.093613786,0.032640649,0.056158135,0.119665484,0.100557527,0.032589965,0.025798277,0.069437405,0.113684744,0.453015712,"west",NA
1982,"Denver Nuggets",27,46,36,19830,0.002017146,0.005496722,0.198688855,0.179878971,0.119566314,0.030610187,0.057942511,0.123197176,0.114573878,0.033484619,0.018557741,0.074130106,0.107463439,0.522995461,0.003227433,0.008219869,0.211850731,0.187291982,0.087443268,0.031265759,0.068482098,0.124004034,0.126878467,0.037771054,0.028693898,0.074432678,0.123701462,0.52082703,"west",NA
1982,"Detroit Pistons",24.4,39,43,19830,0.002622289,0.008119012,0.17695411,0.185022693,0.097730711,0.032425618,0.065456379,0.118255169,0.10221886,0.037367625,0.028441755,0.08214826,0.10892587,0.459505799,0.002067574,0.006757438,0.18698941,0.175441251,0.083106404,0.028391326,0.058446798,0.122743318,0.110489158,0.039435199,0.029299042,0.082551689,0.120171457,0.463287948,"east",NA
1982,"Golden State Warriors",25.1,45,37,19780,0.004600607,0.011830131,0.179726997,0.175379171,0.086400404,0.034024267,0.064812942,0.1239636,0.092012133,0.03463094,0.019767442,0.071991911,0.112487361,0.459656218,0.002022245,0.006673407,0.177704752,0.180131446,0.09388271,0.030788675,0.056218402,0.121688574,0.105106168,0.033417594,0.019868554,0.069160768,0.108998989,0.455358948,"west",NA
1982,"Houston Rockets",28.3,46,36,19780,0.002527806,0.006370071,0.174620829,0.188877654,0.082002022,0.030485339,0.070930233,0.115470172,0.099949444,0.032760364,0.021688574,0.066784631,0.094590495,0.438827098,0.002426694,0.007785642,0.177856421,0.174924166,0.075985844,0.025682508,0.059150657,0.116481294,0.107583418,0.034277048,0.017846309,0.067795753,0.103488372,0.438978766,"west",NA
